,Unnamed: 0,Video ID,Video Title,Channel,Published Date,Views,Likes,Comments,Subscribers,Channel Views,Country,Region,CategoryID,CategoryName,Cluster,CategoryID_enc,VideoCluster,Channel_Cluster,Video_Cluster,Country_Cluster_x,Category_Cluster_x,Year,Month,Day,DayOfWeek,DayName,Views_per_Sub,Engagement,Like_per_Sub,Comment_per_Sub
4122,4122,8448,6995,7143,0.9858517358571816,51170,1015,148,608000,146393423,67,12,25,2,0,7,1,0,0,1,2,2025,10,19,6,0.5,0.0841610457877536,0.0227277168708838,0.0016694051490046,0.0002434206522686
4123,4123,196,230,4386,0.7954641452828355,1018736,8712,246,357000,571297226,57,26,23,10,0,1,2,0,0,1,3,2025,10,12,6,0.5,2.853594247635161,0.008793241042585,0.0244032929879748,0.0006890737000736
4124,4124,1649,5483,2438,0.8583864985046148,908593,10749,23,168000,25117128,67,3,28,4,0,9,1,0,0,1,0,2025,10,15,2,1.0,5.408259474645984,0.0118556803148601,0.0639817620133213,0.0001369039470003
4125,4125,3448,2987,7291,0.864366207348894,2708773,54347,518,74000,197977812,12,5,17,9,0,10,0,0,0,1,0,2025,10,15,2,1.0,36.60454588451508,0.0202545505826621,0.7344089944730476,0.0069999054066836
4126,4126,4253,87,110,0.9763447676371017,28408,171,31,217000,377525318,91,16,25,2,0,7,1,0,0,1,2,2025,10,19,6,0.5,0.1309118391159487,0.0071104227533528,0.0007880148017751,0.0001428564845323
4127,4127,3876,4613,424,0.9425266976504644,51611,1047,9,11600,7967920,77,38,17,9,0,10,1,0,0,2,0,2025,10,18,5,0.3333333333333333,4.448840617188173,0.0204603580562659,0.0902508404447892,0.0007757951900698
4128,4128,4877,7653,5333,0.7841828777289948,2268128,169670,3376,9870000,2911114834,80,40,26,5,0,5,2,0,0,2,1,2025,10,12,6,0.5,0.2298001793515522,0.0762946022911395,0.0171904744487867,0.0003420465712212
4129,4129,6495,5772,5696,0.6079303711467219,72144897,1505224,68574,62100000,41316397193,67,2,10,7,2,6,4,3,4,1,0,2025,10,5,6,0.5,1.1617535561714405,0.0218144046721086,0.024238711364916,0.0011042511899476
4130,4130,2969,4419,2083,0.9841442787162578,6702120,0,85,2230000,1726381098,91,24,23,10,0,1,2,0,3,1,3,2025,10,19,6,0.5,3.00543362985039,1.2682552284567823e-05,0.0,3.811657483561667e-05
4131,4131,2066,7420,275,0.921008218765337,475248,2979,5,68400,55968221,27,12,17,9,0,10,0,0,0,1,0,2025,10,17,4,0.0,6.947968596950337,0.0062788138428486,0.0435519948538764,7.309834651540182e-05
4132,4132,841,6180,193,0.9574378414678222,412299,3818,64,71500,278902246,86,44,17,9,0,10,1,0,0,1,0,2025,10,18,5,0.3333333333333333,5.766338932322625,0.0094154741692942,0.0533978545754604,0.0008950923763304
4133,4133,2999,1674,2484,0.8660705263587261,1500977,22972,52,14900,34182417,93,23,23,10,0,1,2,0,0,1,3,2025,10,15,2,1.0,100.72995100999933,0.0153393320888114,1.5416415005704316,0.003489698677941
4134,4134,3442,8356,7367,0.9982583372297996,62938,1012,26,550000,982701972,48,25,28,4,0,9,1,0,0,1,0,2025,10,20,0,0.1666666666666666,0.1144325192136014,0.0164921590746595,0.0018399966545515,4.7272641322470326e-05
4135,4135,8390,1950,2202,0.982759107640959,85933,764,60,420000,70848582,25,33,20,0,0,4,0,0,0,1,2,2025,10,19,6,0.5,0.2046018938050147,0.0095887541601694,0.0018190432879921,0.0001428568027218
4136,4136,1452,411,3076,0.9711426876837096,26337,966,197,255000,45400023,42,21,2,6,0,0,2,0,0,0,0,2025,10,19,6,0.5,0.1032819479139297,0.0441567317184296,0.0037882204383512,0.0007725459900157
4137,4137,1808,2490,6088,0.9798952491833006,230562,12868,113,4450000,2981387326,89,36,25,2,0,7,1,0,0,2,2,2025,10,19,6,0.5,0.0518116737501856,0.0563013146081548,0.0028916847434416,2.5393252720617368e-05
4138,4138,4497,2494,1136,0.8982862665967559,1531164,30445,308,97100,125080427,73,36,24,3,0,2,2,0,0,2,1,2025,10,16,3,0.6666666666666666,15.768776840609265,0.0200847067429049,0.3135395104066899,0.003171954974717
4139,4139,7999,6006,5935,0.7323302820237814,4658642,65805,784,555000,410743534,67,46,2,6,0,0,2,0,0,1,0,2025,10,10,4,0.0,8.393934425343378,0.0142936473131768,0.1185673539326956,0.0014126100673692
4140,4140,129,1795,230,0.7325694076149603,827425,23380,3214,51800,3263467,47,24,10,7,0,6,0,0,0,2,0,2025,10,10,4,0.0,15.973147236539836,0.0321406385586143,0.4513426381730082,0.0620451342638173
4141,4141,7228,5347,5211,0.9502380272451774,512594,11343,1846,814000,510402298,91,39,10,7,0,6,1,0,0,1,0,2025,10,18,5,0.3333333333333333,0.6297215851086178,0.0257298647080053,0.0139348723158816,0.0022678104818053
4142,4142,3413,3588,6830,0.9339768594211364,112383,370,182,810000,403397453,2,0,25,2,0,7,0,0,0,2,2,2025,10,17,4,0.0,0.1387442731552183,0.0049117312072892,0.000456789559519,0.0002246910806282
4143,4143,6894,8038,6474,0.8418080656246048,1677123,0,193,68800,81717774,27,12,17,9,0,10,0,0,0,1,0,2025,10,14,1,0.8333333333333333,24.37643348207148,0.0001150779548799,0.0,0.0028051917850031
4144,4144,1263,3001,3395,0.8082253554717909,318284,4478,13,15200,29087493,91,38,23,10,0,1,2,0,0,1,3,2025,10,13,0,0.1666666666666666,20.93835931846589,0.0141099957585183,0.2945858825077297,0.0008552068942832
4145,4145,3712,1861,3154,0.919273146070509,5997606,116171,87,2400000,2460633513,67,29,17,9,0,10,1,0,3,1,0,2025,10,17,4,0.0,2.499001458749392,0.0193840643443293,0.0484045631647653,3.6249984895839626e-05
4146,4146,4989,2305,86,0.987676245288867,32659,1103,122,940000,201281790,85,43,20,0,0,4,2,0,0,1,2,2025,10,19,6,0.5,0.0347435800600212,0.0375076546233925,0.001173403007018,0.0001297870959711
4147,4147,808,187,3619,0.8867275882520289,676744,7769,47,47700,39829469,91,36,26,5,0,5,2,0,0,1,1,2025,10,16,3,0.6666666666666666,14.187207815349783,0.0115494019165269,0.162868702962202,0.0009853042913146
4148,4148,8430,1498,242,0.92541666535908,36693,3666,153,78400,29786047,60,27,22,1,0,8,1,0,0,1,2,2025,10,17,4,0.0,0.4680169895792145,0.1040769608110317,0.0467596076580655,0.0019515057205902
4149,4149,601,3434,4670,0.8643797013126004,1168166,18232,13,47500,102546810,44,22,26,5,0,5,0,0,0,2,1,2025,10,15,2,1.0,24.59245068524873,0.015618486055504,0.3838234984526641,0.0002736784488747
4150,4150,5031,2512,3120,0.7641892167538344,683500,6982,139,14400,14116261,73,36,28,4,0,9,1,0,0,2,0,2025,10,11,5,0.3333333333333333,47.46198180681897,0.0104184192854143,0.4848274425387125,0.0096521074925352
4151,4151,1533,8012,6744,0.3233878635917335,824389,4084,252,40600,12531754,7,3,10,7,0,6,0,0,0,1,0,2025,9,25,3,0.6666666666666666,20.30464766877663,0.0052596465265226,0.1005886554518361,0.0062067436762641
4152,4152,4574,7181,930,0.933302161230813,2154690,8751,25,857000,1562270898,93,48,26,5,0,5,2,0,0,1,1,2025,10,17,4,0.0,2.5142211035926447,0.0040729738045965,0.010211189951937,2.917149454901453e-05
4153,4153,2546,1078,3526,0.8338824016744866,2796079,26453,126,22900,34497019,50,39,2,6,0,0,2,0,0,1,0,2025,10,14,1,0.8333333333333333,122.09418802672371,0.0095058081313839,1.155102397275228,0.0055019431465874
4154,4154,4298,7475,670,0.9175195584022048,330610,886,4,31300,461770,67,35,20,0,0,4,2,0,0,1,2,2025,10,17,4,0.0,10.56228235519632,0.0026919854451303,0.0283058049263601,0.0001277914443627
4155,4155,139,3425,6104,0.9786854996375496,1165401,36563,143,1360000,1066762059,67,46,1,8,0,3,2,0,0,1,3,2025,10,19,6,0.5,0.8569118699177427,0.0314964278420665,0.0268845390554859,0.0001051469815095
4156,4156,2899,5434,839,0.9039270572802708,141175,4918,161,197,18801318,67,46,10,7,0,6,1,0,0,1,0,2025,10,16,3,0.6666666666666666,713.0050505050505,0.035976369921233,24.83838383838384,0.8131313131313131
4157,4157,2336,5125,1096,0.9452954707353456,1049815,39987,166,482000,45418541,62,24,17,9,0,10,1,0,0,2,0,2025,10,18,5,0.3333333333333333,2.1780349003425306,0.0382476548271316,0.0829604087958323,0.000344397625731
4158,4158,5061,5568,342,0.9660655053488654,1568269,37376,1269,14900000,1885477606,71,34,26,5,0,5,2,0,0,1,1,2025,10,19,6,0.5,0.1052529459561781,0.0246418027508018,0.0025084562074861,8.516777951894097e-05
4159,4159,5130,5663,6617,0.9728306884118184,148995,11477,180,2290000,280178858,80,12,20,0,0,4,2,0,0,2,2,2025,10,19,6,0.5,0.0650632903653753,0.0782369996509973,0.0050117882044592,7.860258576306299e-05
4160,4160,6729,2044,1048,0.8217312441747708,3781157,111741,78,29700,26494366,12,5,17,9,0,10,0,0,0,1,0,2025,10,13,0,0.1666666666666666,127.30739705733814,0.0295726864627185,3.762196559038416,0.0026261742028887
4161,4161,1709,3663,4491,0.9855639692336808,24315,1627,207,140000,49399287,44,22,25,2,0,7,0,0,0,2,2,2025,10,19,6,0.5,0.173677330876208,0.0754235894061523,0.0116213455618174,0.0014785608674223
4162,4162,1882,252,2262,0.8106956922873678,29116274,349108,936,115000,203511690,67,42,17,9,2,10,3,0,1,1,0,2025,10,13,0,0.1666666666666666,253.1827897148721,0.012022279635702,3.0356953417796366,0.0081390596603507
4163,4163,3115,1802,1465,0.8895148763104999,153776,2702,517,221000,126740585,39,19,10,7,0,6,0,0,0,1,0,2025,10,16,3,0.6666666666666666,0.6958158560368505,0.0209329093427495,0.0122261890217691,0.0023393559305161
4164,4164,7461,3874,5650,0.8662192737737087,16303612,311894,1388,2040000,2451696176,46,7,26,5,0,5,3,0,3,1,1,2025,10,15,2,1.0,7.991962749037868,0.019215495362899,0.1528891407406173,0.0006803918233373
4165,4165,1660,6754,2924,0.7180414296069557,1629340,10662,53,12500,28838801,87,17,23,10,0,1,2,0,0,2,3,2025,10,10,4,0.0,130.33677305815536,0.0065762783849421,0.8528917686585074,0.0042396608271338
4166,4166,696,1299,6519,0.9179039794640858,380987,5798,89,21000,17661622,87,45,1,8,0,3,2,0,0,2,3,2025,10,17,4,0.0,18.141374220275225,0.0154519302445221,0.2760820913289843,0.004237893433646
4167,4167,5281,4190,7276,0.964936719586035,2315109,33456,153,15600000,20756737808,39,19,23,10,0,1,2,2,0,1,3,2025,10,19,6,0.5,0.1484044135638196,0.0145172367619681,0.00214461524714,9.807691678994124e-06
4168,4168,1992,6549,6429,0.8104324030866792,1273839,8244,41,12000,33679698,36,45,23,10,0,1,2,0,0,1,3,2025,10,13,0,0.1666666666666666,106.14440463294726,0.0065039565408528,0.6869427547704358,0.0034163819681693
4169,4169,2994,3370,5884,0.8727814197532098,221023,3425,463,22000,15472205,67,39,22,1,0,8,1,0,0,1,2,2025,10,15,2,1.0,10.04604336166538,0.0175908498624583,0.1556747420571792,0.0210444979773646
4170,4170,5989,7858,3967,0.87172638007155,1179294,0,5,41700,173777202,86,44,2,6,0,0,2,0,0,1,0,2025,10,15,2,1.0,28.279753483129905,4.239821249136137e-06,0.0,0.00011990120141
4171,4171,2693,6492,3497,0.9792026636456512,78320,3045,557,118000,16840117,67,49,25,2,0,7,1,0,0,1,2,2025,10,19,6,0.5,0.6637231887865357,0.0459902197367245,0.0258048660604571,0.0047202989805171
4172,4172,3255,82,6297,0.904656045138836,189715,4978,978,1250000,389562447,70,33,25,2,0,7,1,0,0,2,2,2025,10,16,3,0.6666666666666666,0.1517718785824971,0.0313942946298678,0.0039823968140825,0.0007823993740805
4173,4173,2649,4164,5505,0.8937513533189758,87499,8238,826,1000000,649882177,18,9,10,7,0,6,0,0,0,1,0,2025,10,16,3,0.6666666666666666,0.0874989125010875,0.1035885714285714,0.0082379917620082,0.0008259991740008
4174,4174,3806,201,4579,0.8394601159225203,153305,2705,24,143000,156561739,34,16,23,10,0,1,0,0,0,2,3,2025,10,14,1,0.8333333333333333,1.072055440171747,0.0178009993085723,0.0189159516367018,0.0001678309941888
